受注番号,明細番号,異常種別
CN20220221-C0024,3,push_sale
CN20220303-C0182,1,push_sale
CN20220316-C0186,2,push_sale
CN20220329-C0186,2,push_sale
SO20220106-C0191,3,quantity_typo
SO20220113-C0133,2,discount_error
SO20220118-C0044,1,discount_error
SO20220121-C0093,1,discount_error
SO20220121-C0124,1,quantity_typo
SO20220127-C0024,3,push_sale
SO20220127-C0031,1,quantity_typo
SO20220128-C0186,2,quantity_typo
SO20220202-C0098,2,discount_error
SO20220214-C0098,1,discount_error
SO20220216-C0065,2,quantity_typo
SO20220221-C0121,3,discount_error
SO20220224-C0019,2,discount_error
SO20220224-C0057,2,discount_error
SO20220228-C0182,1,push_sale
SO20220228-C0186,2,push_sale
SO20220302-C0031,2,quantity_typo
SO20220307-C0167,3,quantity_typo
SO20220310-C0037,2,quantity_typo
SO20220310-C0179,1,discount_error
SO20220311-C0050,1,quantity_typo
SO20220317-C0031,3,quantity_typo
SO20220317-C0094,1,quantity_typo
SO20220318-C0066,1,quantity_typo
SO20220323-C0027,2,discount_error
SO20220325-C0027,2,push_sale
SO20220328-C0071,2,push_sale
SO20220328-C0186,2,push_sale
SO20220329-C0124,2,push_sale
SO20220331-C0041,3,push_sale
SO20220331-C0121,2,push_sale
