顧客コード,顧客名,顧客所在地,拠点,取引開始月
C0001,A株式会社,千葉県,東京本社,2022-01-01
C0002,B株式会社,神奈川県,東京本社,2022-01-01
C0003,C株式会社,神奈川県,東京本社,2022-01-01
C0004,D株式会社,神奈川県,東京本社,2022-01-01
C0005,E株式会社,埼玉県,東京本社,2022-01-01
C0009,I株式会社,東京都,東京本社,2022-01-01
C0010,J株式会社,千葉県,東京本社,2022-01-01
C0011,K株式会社,東京都,東京本社,2022-01-01
C0013,M株式会社,神奈川県,東京本社,2022-01-01
C0014,N株式会社,東京都,東京本社,2022-01-01
C0017,Q株式会社,神奈川県,東京本社,2022-01-01
C0018,R株式会社,千葉県,東京本社,2022-01-01
C0019,S株式会社,神奈川県,東京本社,2022-01-01
C0020,T株式会社,茨城県,東京本社,2022-01-01
C0021,U株式会社,神奈川県,東京本社,2022-01-01
C0023,W株式会社,茨城県,東京本社,2022-01-01
C0024,X株式会社,東京都,東京本社,2022-01-01
C0025,Y株式会社,埼玉県,東京本社,2022-01-01
C0027,A1株式会社,東京都,東京本社,2022-01-01
C0028,B1株式会社,千葉県,東京本社,2022-01-01
C0029,C1株式会社,埼玉県,東京本社,2022-01-01
C0030,D1株式会社,東京都,東京本社,2022-01-01
C0031,E1株式会社,東京都,東京本社,2022-01-01
C0033,G1株式会社,千葉県,東京本社,2022-01-01
C0034,H1株式会社,神奈川県,東京本社,2022-01-01
C0037,K1株式会社,神奈川県,東京本社,2022-01-01
C0038,L1株式会社,千葉県,東京本社,2022-01-01
C0039,M1株式会社,東京都,東京本社,2022-01-01
C0041,O1株式会社,茨城県,東京本社,2022-01-01
C0043,Q1株式会社,東京都,東京本社,2022-01-01
C0044,R1株式会社,千葉県,東京本社,2022-01-01
C0045,S1株式会社,東京都,東京本社,2022-01-01
C0047,U1株式会社,千葉県,東京本社,2022-01-01
C0048,V1株式会社,神奈川県,東京本社,2022-01-01
C0049,W1株式会社,東京都,東京本社,2022-01-01
C0050,X1株式会社,神奈川県,東京本社,2022-01-01
C0052,Z1株式会社,埼玉県,東京本社,2022-01-01
C0053,A2株式会社,東京都,東京本社,2022-01-01
C0055,C2株式会社,東京都,東京本社,2022-01-01
C0056,D2株式会社,東京都,東京本社,2022-01-01
C0057,E2株式会社,埼玉県,東京本社,2022-01-01
C0058,F2株式会社,群馬県,東京本社,2022-01-01
C0060,H2株式会社,東京都,東京本社,2022-01-01
C0061,I2株式会社,東京都,東京本社,2022-01-01
C0062,J2株式会社,東京都,東京本社,2022-01-01
C0065,M2株式会社,千葉県,東京本社,2022-01-01
C0066,N2株式会社,茨城県,東京本社,2022-01-01
C0067,O2株式会社,千葉県,東京本社,2022-01-01
C0068,P2株式会社,埼玉県,東京本社,2022-01-01
C0070,R2株式会社,東京都,東京本社,2022-01-01
C0071,S2株式会社,東京都,東京本社,2022-01-01
C0072,T2株式会社,埼玉県,東京本社,2022-01-01
C0074,V2株式会社,栃木県,東京本社,2022-03-01
C0075,W2株式会社,東京都,東京本社,2022-01-01
C0076,X2株式会社,東京都,東京本社,2022-01-01
C0077,Y2株式会社,東京都,東京本社,2022-01-01
C0078,Z2株式会社,東京都,東京本社,2022-01-01
C0079,A3株式会社,神奈川県,東京本社,2022-01-01
C0082,D3株式会社,東京都,東京本社,2022-01-01
C0085,G3株式会社,茨城県,東京本社,2022-01-01
C0086,H3株式会社,神奈川県,東京本社,2022-01-01
C0088,J3株式会社,東京都,東京本社,2022-01-01
C0089,K3株式会社,神奈川県,東京本社,2022-01-01
C0091,M3株式会社,東京都,東京本社,2022-01-01
C0092,N3株式会社,東京都,東京本社,2022-01-01
