feature,importance
feat_price_ratio_28,2420
feat_price,2225
cal_day,1341
cal_yearly_sin_2,1293
org_target_dow_mean,1193
org_roll_mean_60,1158
feat_cv_long,1127
cal_yearly_cos_3,991
feat_sku_code,989
cal_yearly_sin_3,957
cal_dow,901
cal_yearly_sin_1,869
org_roll_std_60,860
cal_yearly_cos_2,803
cal_doy,758
cal_yearly_cos_1,715
org_price_mean_28,711
org_target_dow_last,687
org_promo_rate_28,586
org_roll_mean_20,571
feat_promo_flag,565
org_roll_std_20,498
feat_store_code,462
org_zero_rate_28,355
feat_price_vs_origin,306
org_roll_mean_5,276
feat_short_long_ratio,253
cal_week,236
cal_month,173
org_price,171
org_roll_std_5,116
feat_horizon,88
cal_is_month_end,52
org_lag_1,25
cal_is_month_start,24
org_lag_3,14
org_lag_10,10
org_lag_2,9
org_lag_5,6
org_lag_20,6
cal_is_holiday,0
cal_is_weekend,0
