feature,importance
feat_price,1729
org_target_dow_mean,1515
cal_yearly_sin_2,1376
feat_price_ratio_28,1365
cal_dow,1284
cal_yearly_sin_1,1200
cal_yearly_cos_3,1193
cal_yearly_sin_3,1180
cal_day,1178
cal_yearly_cos_1,1166
org_roll_mean_91,1028
feat_cv_long,980
cal_doy,948
org_roll_std_91,885
org_price_mean_28,876
org_target_dow_last,863
feat_sku_code,851
org_roll_mean_28,828
cal_yearly_cos_2,813
feat_price_vs_origin,559
org_price,542
org_roll_std_28,486
cal_week,364
feat_store_code,324
org_roll_mean_7,293
org_promo_rate_28,213
cal_is_holiday,210
feat_short_long_ratio,158
feat_promo_flag,83
cal_month,74
org_roll_std_7,68
feat_horizon,49
cal_is_weekend,44
org_lag_1,22
cal_is_month_start,16
org_lag_14,12
org_lag_28,12
cal_is_month_end,12
org_lag_2,1
org_lag_3,0
org_lag_7,0
org_zero_rate_28,0
